frame,paint_fibers,paint_replayed,prepaint_fibers,prepaint_replayed,mutated_segments,total_segments,hitboxes,hitboxes_rebuilt,upload_bytes,quads,mono_sprites,poly_sprites
0,0,0,0,0,0,0,0,false,0,0,0,0
1,2222,0,2222,0,2222,2222,1056,true,230752,363,1075,0
2,47,5,47,5,2222,2222,1056,true,233440,363,1099,0
3,803,33,2222,0,2222,2222,1056,true,233104,363,1096,0
4,47,5,47,5,2222,2222,1056,true,233552,363,1100,0
5,47,5,47,5,47,2222,1056,false,233104,363,1096,0
6,47,5,47,5,47,2222,1056,false,232992,363,1095,0
7,47,5,47,5,47,2222,1056,false,232992,363,1095,0
8,47,5,47,5,47,2222,1056,false,232992,363,1095,0
9,47,5,47,5,47,2222,1056,false,232992,363,1095,0
10,47,5,47,5,47,2222,1056,false,232992,363,1095,0
11,47,5,47,5,47,2222,1056,false,233104,363,1096,0
12,47,5,47,5,47,2222,1056,false,233104,363,1096,0
13,47,5,47,5,47,2222,1056,false,233104,363,1096,0
14,47,5,47,5,47,2222,1056,false,233104,363,1096,0
15,47,5,47,5,47,2222,1056,false,233104,363,1096,0
16,47,5,47,5,47,2222,1056,false,233104,363,1096,0
17,47,5,47,5,47,2222,1056,false,233104,363,1096,0
18,47,5,47,5,47,2222,1056,false,233104,363,1096,0
19,47,5,47,5,47,2222,1056,false,233104,363,1096,0
20,47,5,47,5,47,2222,1056,false,233104,363,1096,0
21,47,5,47,5,47,2222,1056,false,233104,363,1096,0
22,47,5,47,5,47,2222,1056,false,233104,363,1096,0
23,47,5,47,5,47,2222,1056,false,233104,363,1096,0
24,47,5,47,5,47,2222,1056,false,233104,363,1096,0
25,47,5,47,5,47,2222,1056,false,233104,363,1096,0
26,47,5,47,5,47,2222,1056,false,233104,363,1096,0
27,47,5,47,5,47,2222,1056,false,233104,363,1096,0
28,47,5,47,5,47,2222,1056,false,233104,363,1096,0
29,47,5,47,5,47,2222,1056,false,233104,363,1096,0
30,47,5,47,5,47,2222,1056,false,233104,363,1096,0
31,47,5,47,5,47,2222,1056,false,233104,363,1096,0
32,47,5,47,5,47,2222,1056,false,233104,363,1096,0
33,47,5,47,5,47,2222,1056,false,233104,363,1096,0
34,47,5,47,5,47,2222,1056,false,233104,363,1096,0
35,47,5,47,5,47,2222,1056,false,233104,363,1096,0
36,47,5,47,5,47,2222,1056,false,233104,363,1096,0
37,47,5,47,5,47,2222,1056,false,233104,363,1096,0
38,47,5,47,5,47,2222,1056,false,233104,363,1096,0
39,47,5,47,5,47,2222,1056,false,233104,363,1096,0
40,47,5,47,5,47,2222,1056,false,233104,363,1096,0
41,47,5,47,5,47,2222,1056,false,233104,363,1096,0
42,47,5,47,5,47,2222,1056,false,233104,363,1096,0
43,47,5,47,5,47,2222,1056,false,233104,363,1096,0
44,47,5,47,5,47,2222,1056,false,233104,363,1096,0
45,47,5,47,5,47,2222,1056,false,233104,363,1096,0
46,47,5,47,5,47,2222,1056,false,233104,363,1096,0
47,47,5,47,5,47,2222,1056,false,233104,363,1096,0
48,47,5,47,5,47,2222,1056,false,233104,363,1096,0
49,52,73,52,73,53,2223,1056,true,234320,367,1096,0
50,52,73,52,73,53,2223,1056,true,233216,363,1097,0
51,47,5,47,5,47,2223,1056,false,233216,363,1097,0
52,47,5,47,5,47,2223,1056,false,233104,363,1096,0
53,47,5,47,5,47,2223,1056,false,233104,363,1096,0
54,47,5,47,5,47,2223,1056,false,233104,363,1096,0
55,52,73,52,73,53,2224,1056,true,234320,367,1096,0
56,52,73,52,73,53,2224,1056,true,233216,363,1097,0
57,47,5,47,5,47,2224,1056,false,233216,363,1097,0
58,52,73,52,73,53,2225,1056,true,234320,367,1096,0
59,47,5,47,5,47,2225,1056,true,234432,367,1097,0
60,47,5,47,5,47,2225,1056,false,234208,367,1095,0
61,55,92,55,92,57,2226,1056,true,234320,367,1096,0
62,52,73,52,73,57,2226,1056,true,233216,363,1097,0
63,47,5,47,5,47,2226,1056,false,233216,363,1097,0
64,47,5,47,5,47,2226,1056,false,233104,363,1096,0
65,47,5,47,5,47,2226,1056,false,233104,363,1096,0
66,52,73,52,73,53,2227,1056,true,234320,367,1096,0
67,47,5,47,5,47,2227,1056,true,234432,367,1097,0
68,780,37,2199,4,2204,2227,1056,true,234208,367,1095,0
69,47,5,47,5,47,2227,1056,true,234880,367,1101,0
70,780,37,2199,4,2204,2227,1056,true,252368,363,1268,0
71,823,36,2199,4,2204,2227,1056,true,252368,384,1211,0
72,780,37,2199,4,2204,2227,1056,true,253040,363,1274,0
73,780,37,2199,4,2204,2227,1056,true,251584,363,1261,0
74,47,5,47,5,2204,2227,1056,true,251584,363,1261,0
75,780,37,2199,4,2205,2228,1056,true,252352,367,1257,0
76,47,5,47,5,2205,2228,1056,true,252800,367,1261,0
77,47,5,47,5,47,2228,1056,false,252352,367,1257,0
78,47,5,47,5,47,2228,1056,false,252240,367,1256,0
79,47,5,47,5,47,2228,1056,false,252240,367,1256,0
80,47,5,47,5,47,2228,1056,false,252240,367,1256,0
81,47,5,47,5,47,2228,1056,false,252240,367,1256,0
82,47,5,47,5,47,2228,1056,false,252240,367,1256,0
83,780,37,2199,4,2205,2228,1056,true,259296,367,1319,0
84,802,57,2199,4,2205,2228,1056,true,265024,384,1324,0
85,47,5,47,5,47,2228,1056,true,265024,384,1324,0
86,47,5,47,5,47,2228,1056,false,264352,384,1318,0
87,780,37,2199,4,2205,2228,1056,true,252480,363,1269,0
88,823,36,2199,4,2205,2228,1056,true,259424,384,1274,0
89,802,57,2199,4,2205,2228,1056,true,259424,384,1274,0
90,47,5,47,5,2205,2228,1056,true,259424,384,1274,0
91,780,37,2199,4,2205,2228,1056,true,252592,363,1270,0
92,780,37,2199,4,2205,2228,1056,true,240720,363,1164,0
93,780,37,2199,4,2205,2228,1056,true,233664,363,1101,0
94,47,5,47,5,2205,2228,1056,true,233664,363,1101,0
95,780,37,2199,4,2205,2228,1056,false,234432,367,1097,0
96,780,37,2199,4,2205,2228,1056,false,234992,367,1102,0
97,47,5,47,5,47,2228,1056,false,234992,367,1102,0
98,47,5,47,5,47,2228,1056,false,234320,367,1096,0
99,47,5,47,5,47,2228,1056,false,234320,367,1096,0
100,47,5,47,5,47,2228,1056,false,234320,367,1096,0
101,47,5,47,5,47,2228,1056,false,234432,367,1097,0
102,47,5,47,5,47,2228,1056,false,234432,367,1097,0
103,47,5,47,5,47,2228,1056,false,234432,367,1097,0
104,54,72,54,72,56,2229,1056,true,234432,367,1097,0
105,47,5,47,5,47,2229,1056,true,234544,367,1098,0
106,52,73,52,73,53,2229,1056,false,233104,363,1096,0
107,47,5,47,5,47,2229,1056,false,233440,363,1099,0
108,47,5,47,5,47,2229,1056,false,233216,363,1097,0
109,47,5,47,5,47,2229,1056,false,233216,363,1097,0
110,47,5,47,5,47,2229,1056,false,233216,363,1097,0
111,47,5,47,5,47,2229,1056,false,233216,363,1097,0
112,47,5,47,5,47,2229,1056,false,233216,363,1097,0
113,47,5,47,5,47,2229,1056,false,233216,363,1097,0
114,47,5,47,5,47,2229,1056,false,233216,363,1097,0
115,47,5,47,5,47,2229,1056,false,233216,363,1097,0
116,47,5,47,5,47,2229,1056,false,233216,363,1097,0
117,47,5,47,5,47,2229,1056,false,233216,363,1097,0
118,47,5,47,5,47,2229,1056,false,233216,363,1097,0
119,47,5,47,5,47,2229,1056,false,233216,363,1097,0
120,47,5,47,5,47,2229,1056,false,233216,363,1097,0
121,47,5,47,5,47,2229,1056,false,233216,363,1097,0
122,803,33,2222,0,2229,2229,1056,true,233216,363,1097,0
123,47,5,47,5,47,2229,1056,true,233776,363,1102,0
124,47,5,47,5,47,2229,1056,false,233104,363,1096,0
125,47,5,47,5,47,2229,1056,false,233216,363,1097,0
126,47,5,47,5,47,2229,1056,false,233216,363,1097,0
127,47,5,47,5,47,2229,1056,false,233216,363,1097,0
128,47,5,47,5,47,2229,1056,false,233216,363,1097,0
129,47,5,47,5,47,2229,1056,false,233216,363,1097,0
130,47,5,47,5,47,2229,1056,false,233216,363,1097,0
131,47,5,47,5,47,2229,1056,false,233216,363,1097,0
132,47,5,47,5,47,2229,1056,false,233216,363,1097,0
133,47,5,47,5,47,2229,1056,false,233216,363,1097,0
